CASRN,LD50_avg,Toxic_avg-0,Toxic_avg-1,EPA_avg-1,EPA_avg-2,EPA_avg-3,EPA_avg-4,Toxic,EPA_Category,Toxic_zones,EPA_zones,Integrated_zones,model,logLD50_mmolkg,Toxic(Exp),EPA_category(Exp)
130209-82-4,0.425,0.582,0.418,0.06,0.169,0.333,0.438,Nontoxic,EPA 4,InZone,InZone,InZone,Base Models,,1.0,1.0
123253-00-9,-0.026,0.333,0.667,0.364,0.299,0.165,0.172,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Base Models,,1.0,1.0
123253-04-3,-0.107,0.174,0.826,0.518,0.259,0.13,0.093,Toxic,EPA 1,OutZone,OutZone,OutZone,Base Models,,1.0,1.0
14255-87-9,0.405,0.467,0.533,0.066,0.164,0.662,0.109,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,1.0
50-56-6,0.051,0.583,0.417,0.075,0.159,0.352,0.415,Nontoxic,EPA 4,InZone,InZone,InZone,Base Models,,1.0,1.0
93739-45-8,-0.012,0.25,0.75,0.116,0.64,0.106,0.138,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,1.0
104902-33-2,0.297,0.158,0.842,0.024,0.492,0.419,0.066,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
11024-24-1,-0.111,0.564,0.436,0.172,0.066,0.442,0.319,Nontoxic,EPA 3,InZone,InZone,InZone,Base Models,,1.0,2.0
125055-50-7,0.568,0.083,0.917,0.01,0.803,0.156,0.032,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
125055-54-1,0.506,0.075,0.925,0.012,0.873,0.087,0.028,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
125055-58-5,0.573,0.055,0.945,0.006,0.905,0.069,0.02,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
125055-62-1,0.636,0.049,0.951,0.005,0.932,0.046,0.017,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
125055-66-5,0.415,0.154,0.846,0.01,0.798,0.144,0.048,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
125055-70-1,0.597,0.105,0.895,0.012,0.867,0.093,0.028,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
125055-74-5,0.304,0.13,0.87,0.018,0.786,0.13,0.066,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
125055-78-9,0.636,0.049,0.951,0.005,0.932,0.046,0.017,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
130365-34-3,-0.092,0.067,0.933,0.023,0.887,0.062,0.028,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
141-30-0,0.476,0.141,0.859,0.037,0.486,0.441,0.035,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
149455-36-7,0.342,0.42,0.58,0.039,0.242,0.618,0.101,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,2.0
22791-18-0,-0.53,0.076,0.924,0.364,0.435,0.171,0.03,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
22961-83-7,-0.233,0.081,0.919,0.081,0.454,0.439,0.026,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
34484-91-8,0.461,0.32,0.68,0.034,0.268,0.503,0.194,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
53460-76-7,0.431,0.482,0.518,0.117,0.116,0.527,0.24,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,2.0
63233-53-4,0.246,0.129,0.871,0.026,0.639,0.288,0.046,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
72239-29-3,0.052,0.077,0.923,0.111,0.691,0.179,0.019,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
76932-60-0,-0.057,0.579,0.421,0.039,0.252,0.208,0.5,Nontoxic,EPA 4,InZone,OutZone,HalfZone_M,Base Models,,1.0,2.0
93-05-0,0.229,0.082,0.918,0.044,0.744,0.179,0.033,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
99300-61-5,-0.259,0.055,0.945,0.063,0.845,0.075,0.018,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
116979-28-3,-0.024,0.072,0.928,0.048,0.8,0.136,0.016,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
116979-32-9,-0.038,0.09,0.91,0.063,0.76,0.154,0.023,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
127946-77-4,0.381,0.148,0.852,0.166,0.495,0.299,0.04,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
14683-75-1,-0.361,0.151,0.849,0.351,0.264,0.334,0.051,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
151327-08-1,0.412,0.087,0.913,0.01,0.806,0.16,0.025,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
167375-26-0,0.535,0.084,0.916,0.008,0.866,0.101,0.025,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168152-70-3,0.408,0.072,0.928,0.009,0.894,0.078,0.02,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168152-74-7,0.524,0.044,0.956,0.007,0.926,0.054,0.013,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168152-78-1,0.452,0.06,0.94,0.007,0.928,0.05,0.014,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168152-82-7,0.565,0.097,0.903,0.012,0.842,0.099,0.046,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168152-86-1,0.341,0.079,0.921,0.009,0.891,0.082,0.018,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168152-90-7,0.378,0.095,0.905,0.011,0.852,0.11,0.027,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168152-94-1,0.327,0.088,0.912,0.01,0.879,0.09,0.021,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
168153-01-3,0.413,0.139,0.861,0.014,0.813,0.122,0.05,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
2240-41-7,0.214,0.154,0.846,0.073,0.539,0.34,0.047,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
2455-45-0,-0.561,0.085,0.915,0.496,0.235,0.248,0.021,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
33156-84-2,-0.078,0.115,0.885,0.143,0.664,0.161,0.031,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
50335-03-0,-0.551,0.46,0.54,0.368,0.135,0.331,0.166,Toxic,EPA 1,InZone,InZone,InZone,Base Models,,1.0,2.0
50765-75-8,0.011,0.058,0.942,0.014,0.707,0.265,0.015,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
54941-76-3,0.447,0.568,0.432,0.063,0.179,0.563,0.195,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,2.0
54941-82-1,0.527,0.397,0.603,0.02,0.34,0.477,0.162,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,,1.0,2.0
6840-11-5,-0.081,0.078,0.922,0.148,0.627,0.205,0.02,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
75272-39-8,0.141,0.299,0.701,0.087,0.222,0.6,0.09,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,2.0
100-03-8,0.706,0.254,0.746,0.032,0.319,0.602,0.047,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
101190-60-7,0.313,0.103,0.897,0.014,0.086,0.869,0.031,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
10308-13-1,0.106,0.27,0.73,0.074,0.16,0.667,0.099,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
106141-32-6,0.346,0.182,0.818,0.073,0.218,0.642,0.067,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
108288-02-4,0.611,0.334,0.666,0.023,0.281,0.575,0.121,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
1118-68-9,1.088,0.554,0.446,0.037,0.105,0.542,0.316,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
113702-02-6,-0.02,0.097,0.903,0.047,0.238,0.681,0.034,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
115816-67-6,0.488,0.507,0.493,0.06,0.167,0.553,0.221,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
119646-52-5,0.18,0.429,0.571,0.041,0.236,0.512,0.211,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
1242-28-0,0.342,0.349,0.651,0.017,0.304,0.584,0.095,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
128143-07-7,0.201,0.159,0.841,0.02,0.202,0.722,0.056,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
132971-59-6,0.892,0.586,0.414,0.021,0.096,0.671,0.213,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
138069-52-0,0.009,0.441,0.559,0.123,0.211,0.461,0.206,Toxic,EPA 3,InZone,InZone,InZone,Base Models,,1.0,3.0
1466-76-8,1.011,0.567,0.433,0.008,0.091,0.735,0.166,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
149246-67-3,0.642,0.266,0.734,0.02,0.148,0.658,0.174,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
